Year,Track Name,Artists,Popularity,Duration (min),Spotify URL,Main Artist,Genre
2014,A Sky Full of Stars,Coldplay,90,4.46,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ,Coldplay,Unknown
2014,I Love You So,The Walters,89,2.67,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc,The Walters,Unknown
2014,Summer,Calvin Harris,88,3.71,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05,Calvin Harris,edm
2014,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",88,3.79,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris,edm
2014,Lovers Rock,TV Girl,88,3.57,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Unknown
2014,Night Changes,One Direction,88,3.78,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,One Direction,Unknown
2014,Confident,"Justin Bieber, Chance the Rapper",87,4.14,https://open.spotify.com/track/3JsydWaf2Ev4ehaLUjj3SY,Justin Bieber,Unknown
2014,The Nights,Avicii,87,2.94,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,Avicii,edm
2014,Time of Our Lives,"Pitbull, Ne-Yo",87,3.82,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r,Pitbull,Unknown
2014,No Role Modelz,J. Cole,86,4.88,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,J. Cole,rap
2014,Rude,MAGIC!,86,3.75,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp,MAGIC!,Unknown
2014,Shut Up and Dance,WALK THE MOON,86,3.32,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Unknown
2014,Riptide,Vance Joy,86,3.4,https://open.spotify.com/track/2uXlHCUbq9OMUwx3hrk06o,Vance Joy,folk pop
2014,One Last Time,Ariana Grande,86,3.29,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,Ariana Grande,pop
2014,Take Me To Church,Hozier,85,4.03,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI,Hozier,Unknown
2014,Maps,Maroon 5,85,3.17,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc,Maroon 5,pop
2014,I'm Not The Only One,Sam Smith,85,3.99,https://open.spotify.com/track/7795WJLVKJoAyVoOtCWqXN,Sam Smith,soft pop
2014,West Coast,Lana Del Rey,85,4.28,https://open.spotify.com/track/5Y6nVaayzitvsD5F7nr3DV,Lana Del Rey,Unknown
2014,Style,Taylor Swift,85,3.85,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Unknown
2014,Brooklyn Baby,Lana Del Rey,85,5.86,https://open.spotify.com/track/1NZs6n6hl8UuMaX0UC0YTz,Lana Del Rey,Unknown
2014,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",84,3.47,https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs,Mr. Probz,Unknown
2014,Blame (feat. John Newman),"Calvin Harris, John Newman",84,3.55,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn,Calvin Harris,edm
2014,Riptide,Vance Joy,84,3.4,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,folk pop
2014,"Happy - From ""Despicable Me 2""",Pharrell Williams,84,3.88,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,Pharrell Williams,Unknown
2014,Photograph,Ed Sheeran,84,4.32,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,soft pop
2014,Blank Space,Taylor Swift,84,3.86,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Unknown
2014,Stay With Me,Sam Smith,83,2.88,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,soft pop
2014,Shake It Off,Taylor Swift,83,3.65,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Unknown
2014,Animals,Maroon 5,83,3.85,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x,Maroon 5,pop
2014,Sugar,Maroon 5,83,3.92,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,Maroon 5,pop
2014,Budapest,George Ezra,83,3.35,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1,George Ezra,Unknown
2014,Chandelier,Sia,83,3.6,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC,Sia,"egyptian pop, egyptian hip hop, arabic hip hop"
2014,Wet Dreamz,J. Cole,82,3.99,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd,J. Cole,rap
2014,Am I Wrong,Nico & Vinz,81,4.1,https://open.spotify.com/track/1fidCEsYlaVE3pHwKCvpFZ,Nico & Vinz,Unknown
2014,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard",81,4.05,https://open.spotify.com/track/7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,trap soul
2014,My Love,"Route 94, Jess Glynne",81,4.33,https://open.spotify.com/track/4N1MFKjziFHH4IS3RYYUrU,Route 94,house
2014,Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",80,3.16,https://open.spotify.com/track/5fnA9mkIfScSqHIpeDyvck,Lilly Wood and The Prick,french indie pop
2014,Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",80,3.8,https://open.spotify.com/track/61dCUoMCg28qEBzrW6htYM,Clean Bandit,Unknown
2014,Até Você Voltar,Henrique & Juliano,74,3.4,https://open.spotify.com/track/4ksSf8cL3VlUvQSkFcRHy3,Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo"
2014,Controla,Badoxa,59,4.27,https://open.spotify.com/track/4YTHFVZmvaj5wOiNkM5Eje,Badoxa,"kizomba, zouk, kuduro"
2014,Não Me Toca,Anselmo Ralph,57,4.42,https://open.spotify.com/track/1rEv3IHmYm74W9InCvRfoV,Anselmo Ralph,"kizomba, zouk, kuduro"
2014,Uma Chance,"Djodje, Ricky Boy, Loony Johnson",55,4.27,https://open.spotify.com/track/4AIPloJ5LE4UvuNfZN4SPS,Djodje,"kizomba, zouk, kuduro, kompa"
2014,É Melhor Não Duvidar,B4,52,4.05,https://open.spotify.com/track/0YqIOfDvYspWpuc7M5k1VT,B4,cedm
2014,Mulher Perfeita,"Badoxa, G-Amado",52,4.23,https://open.spotify.com/track/0VZTbftHSToKCdnVMjIgGZ,Badoxa,"kizomba, zouk, kuduro"
2014,Curtição,Anselmo Ralph,52,4.5,https://open.spotify.com/track/17A9FngfOyAtNcw13FCnSR,Anselmo Ralph,"kizomba, zouk, kuduro"
