Main Artist,Genre
Pk,"melodic techno, melodic house"
Mc Leozin,"funk de bh, funk, brazilian funk"
MC JottaPê,"funk, brazilian funk, brega funk, agronejo"
NAPA,"indie, lo-fi"
Slow J,portuguese hip hop
Phoenix Rdc,portuguese hip hop
Nininho Vaz Maia,kizomba
Dream Supplier,"indie, lo-fi"
Charli xcx,"hyperpop, art pop"
Glass Animals,"indie pop, psychedelic pop"
Hotel Ugly,"indie pop, chill pop"
Ozzy Osbourne,"metal, glam metal, heavy metal, hard rock"
Gracie Abrams,"bedroom pop, indie pop"
Miley Cyrus,"pop, rock, country"
Dua Lipa,pop
Boza,"reggaeton, urbano latino, pop urbano"
Don Miguelo,dembow
Don Toliver,"trap, hip hop, alt r&b"
Jay Wheeler,reggaeton
Orochi,"brazilian trap, brazilian hip hop, trap, trap funk"
FRANKIEONTHEGUITAR,portuguese hip hop
Soraia Ramos,"kizomba, zouk, portuguese hip hop"
Domingues,portuguese hip hop
Gama WNTD,portuguese hip hop
Van Zee,portuguese hip hop
Gson,portuguese hip hop
Yuri NR5,portuguese hip hop
X.L.T,"underground, indie"
Olivia Rodrigo,"alt pop, pop punk"
Metallica,"metal, thrash metal, rock, heavy metal, hard rock"
Tate McRae,"pop, electropop"
Tory Lanez,"r&b, hip hop"
Elton John,"pop rock, glam rock"
Farruko,"reggaeton, trap latino"
Grupo Menos É Mais,"pagode, samba"
MeditarSons,"relaxation, meditation music"
Morad,"spanish rap, trap"
Francis Mercier,"afro house, melodic house, latin house, tribal house, house"
Teto,traditional music
MC Cabelinho,"brazilian trap, trap funk, trap, brazilian hip hop, funk consciente"
Mc Poze do Rodo,"brazilian trap, trap funk, brazilian funk, trap, brazilian hip hop, funk, funk consciente"
Julinho Ksd,"portuguese hip hop, punta, kizomba"
Maninho,"portuguese pop, latin"
Bárbara Tinoco,portuguese hip hop
Djo,"psychedelic rock, indie"
David Guetta,"edm, dance"
SZA,"egyptian pop, egyptian hip hop, arabic hip hop"
Noah Kahan,"folk pop, indie folk"
OneRepublic,soft pop
Misa Bee,indie
Rosa Linn,"indie pop, pop rock"
Bizarrap,"argentine trap, trap latino, urbano latino"
Rema,"afrobeats, afrobeat, afropop, afropiano"
LF SYSTEM,"house, dance"
Benson Boone,"pop rock, ballads"
iñigo quintero,Unknown
Manuel Turizo,"reggaeton, pop urbano, latin, colombian pop"
Beny Jr,drill
Bob Sinclar,"french house, disco house"
WIU,"brazilian trap, rap"
KayBlack,"brazilian trap, trap, trap funk, brazilian hip hop"
Veigh,"brazilian trap, trap, trap funk, brazilian hip hop"
PEDRO SAMPAIO,"funk, brazilian funk, funk pop, funk carioca, brega funk, brazilian pop"
Pedro Abrunhosa,fado
Irina Barros,"kizomba, zouk, kompa"
D.A.M.A,portuguese pop
Anjos,portuguese pop
Sara Correia,fado
Nena,fado
Kappa Jotta,portuguese hip hop
Mizzy Miles,portuguese hip hop
Luís Trigacheiro,fado
Teddy Swims,"soul, r&b, pop rock"
Feid,"reggaeton, urbano latino"
The Kid LAROI,"pop rap, emo rap"
CYRIL,"chill pop, r&b"
Disclosure,house
Tyla,traditional music
KAROL G,"reggaeton, latin, urbano latino"
Dimitri Vegas & Like Mike,"big room, electronica, edm, electro"
Myke Towers,"reggaeton, trap latino, urbano latino"
Quevedo,"spanish trap, urban latino"
Loreen,europop
Wakyin,"afro house, latin house"
Dj Tchouzen,"funk, brazilian funk"
GIMS,"french rap, french r&b, french pop, pop urbaine"
DELLAFUENTE,"flamenco urbano, flamenco"
Borges,"brazilian trap, trap, trap funk, brazilian hip hop"
DENNIS,"funk, brazilian funk, funk carioca, funk pop, funk melody"
Nuno Ribeiro,"kizomba, fado"
LON3R JOHNY,"portuguese hip hop, punta"
Buba Espinho,fado
sombr,indie
Alex Warren,"pop, tiktok pop"
ROSÉ,"k-pop, pop"
Chappell Roan,"indie pop, queer pop"
HUGEL,"latin house, afro house, techengue"
Gigi Perez,"indie pop, alt pop"
ATLXS,"phonk, brazilian phonk"
Myles Smith,"indie folk, pop"
Alleh,"brazilian indie, alternative"
Adam Port,"afro house, house"
Lola Young,"soul, r&b, pop"
MoBlack,afro house
Nilo,"lo-fi, indie"
DJ TOPO,"funk, brazilian funk"
DJ NATAN 22,"funk, brazilian funk"
Boladin 211,"funk, brazilian funk, funk de bh, trap funk, funk consciente"
Oruam,"brazilian trap, trap funk, trap"
MC Tuto,"funk, funk consciente, brazilian funk, trap funk"
J. Eskine,"arrocha, piseiro, seresta, forró, brega"
DJ Malvado,"kuduro, kizomba, afro house"
Bluay,"portuguese hip hop, kizomba"
Ivandro,"portuguese hip hop, kizomba, zouk"
