Year,Track Name,Artists,Popularity,Duration (min),Spotify URL
2015,The Less I Know The Better,Tame Impala,88,3.61,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
2015,The Hills,The Weeknd,88,4.04,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
2015,Adventure of a Lifetime,Coldplay,87,4.4,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
2015,Love Yourself,Justin Bieber,87,3.9,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
2015,Sorry,Justin Bieber,87,3.35,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF
2015,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",87,4.49,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
2015,Stressed Out,Twenty One Pilots,87,3.37,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
2015,Friends,Chase Atlantic,86,3.83,https://open.spotify.com/track/7uDUb37h7Xdhza1eWMkoJv
2015,Stitches,Shawn Mendes,86,3.45,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT
2015,Hymn for the Weekend,Coldplay,86,4.3,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
2015,Daddy Issues,The Neighbourhood,86,4.34,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
2015,nuts,"Lil Peep, rainy bear",86,1.42,https://open.spotify.com/track/4k3xDpAdBuM17mNNHhOZkK
2015,Don't,Bryson Tiller,85,3.3,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
2015,Ride,Twenty One Pilots,85,3.58,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
2015,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",84,3.65,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
2015,What Do You Mean?,Justin Bieber,84,3.43,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
2015,Borro Cassette,Maluma,84,3.46,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
2015,Can't Feel My Face,The Weeknd,84,3.56,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81
2015,Star Shopping,Lil Peep,84,2.37,https://open.spotify.com/track/1WbhIxkn5ECsOwUm795iX1
2015,Waiting For Love,Avicii,83,3.84,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj
2015,Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",83,3.01,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
2015,Let It Happen,Tame Impala,83,7.79,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed
2015,Alright,Kendrick Lamar,82,3.66,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
2015,90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill",82,5.65,https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP
2015,Dreamin,PARTYNEXTDOOR,82,2.45,https://open.spotify.com/track/35sZOqVnTQNIGWGURrFdLh
2015,Doubt,Twenty One Pilots,82,3.19,https://open.spotify.com/track/57yL3161hUMuw06zzzUCHi
2015,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",82,4.35,https://open.spotify.com/track/2N3U8uTYhjX2KwGT0pf5x0
2015,Love In The Dark,Adele,81,4.77,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
2015,Often,The Weeknd,81,4.15,https://open.spotify.com/track/4PhsKqMdgMEUSstTDAmMpg
2015,When We Were Young,Adele,79,4.85,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
2015,Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",78,3.58,https://open.spotify.com/track/63CSozvYUEudPp12679UVF
2015,King,Olly Alexander (Years & Years),78,3.59,https://open.spotify.com/track/3AeicLnm55RqcXGBKYQolM
2015,Space Song,Beach House,77,5.34,https://open.spotify.com/track/1ZgMsA55GIY7ICkQh5MILA
2015,Shake Body,Skales,76,3.48,https://open.spotify.com/track/1agLiWjSBYSTsKZLudOunC
2015,King Kunta,Kendrick Lamar,76,3.91,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O
2015,Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",74,4.18,https://open.spotify.com/track/2DAULesb1U4Qz4FSTZpEUJ
